,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
0,"hey, soul sister",train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83
1,love the way you lie,eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
2,tik tok,kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80
3,bad romance,lady gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79
5,baby,justin bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
6,dynamite,taio cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
7,secrets,onerepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77
8,empire state of mind (part ii) broken down,alicia keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76
9,only girl (in the world),rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
10,club can't handle me (feat. david guetta),flo rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73
12,cooler than me - single mix,mike posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73
13,telephone,lady gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73
14,like a g6,far east movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72
15,omg (feat. will.i.am),usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72
16,eenie meenie,sean kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71
17,the time (dirty bit),the black eyed peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70
18,alejandro,lady gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69
19,your love is my drug,kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69
20,meet me halfway,the black eyed peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68
21,whataya want from me,adam lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66
22,take it off,kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66
23,misery,maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65
24,all the right moves,onerepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65
25,animal,neon trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65
26,naturally,selena gomez & the scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64
27,i like it,enrique iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63
28,teenage dream,katy perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63
29,california gurls,katy perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62
30,3,britney spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62
31,my first kiss - feat. ke$ha,3oh!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,62
32,blah blah blah (feat. 3oh!3),kesha,dance pop,2010,120,84,75,-3,42,52,172,8,12,62
33,imma be,the black eyed peas,dance pop,2010,92,52,60,-7,31,41,258,18,37,62
34,try sleeping with a broken heart,alicia keys,hip pop,2010,111,82,50,-5,13,55,249,16,11,62
35,sexy bitch (feat. akon),david guetta,dance pop,2010,130,63,81,-5,13,80,196,8,5,61
36,bound to you - burlesque original motion picture soundtrack,christina aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61
37,if i had you,adam lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59
38,rock that body,the black eyed peas,dance pop,2010,125,91,72,-6,43,84,269,2,10,59
39,dog days are over,florence + the machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58
40,something's got a hold on me - burlesque original motion picture soundtrack,christina aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58
41,doesn't mean anything,alicia keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57
42,hard,rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57
43,loca,shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56
44,you lost me,christina aguilera,dance pop,2010,43,39,23,-6,14,7,257,85,4,56
45,not myself tonight,christina aguilera,dance pop,2010,120,81,76,-5,56,54,186,0,4,55
47,dj got us fallin' in love (feat. pitbull),usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52
49,break your heart,taio cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33
50,hello,martin solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0
51,a thousand years,christina perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81
52,someone like you,adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80
53,give me everything,pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79
54,just the way you are,bruno mars,pop,2011,109,84,64,-5,9,43,221,2,4,78
55,rolling in the deep,adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76
56,run the world (girls),beyoncé,dance pop,2011,127,90,73,-4,37,76,236,0,14,76
57,moves like jagger - studio recording from the voice performance,maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76
58,love on top,beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76
59,grenade,bruno mars,pop,2011,110,56,71,-7,12,23,223,15,6,75
60,tonight tonight,hot chelle rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75
61,what the hell,avril lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74
62,born this way,lady gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73
63,monster,kanye west,chicago rap,2011,125,69,63,-6,67,10,379,0,20,73
64,marry you,bruno mars,pop,2011,145,83,62,-5,10,48,230,33,4,73
65,best thing i never had,beyoncé,dance pop,2011,99,65,55,-4,9,30,254,14,3,73
66,party rock anthem,lmfao,dance pop,2011,130,74,75,-4,27,35,262,2,16,72
67,we r who we r,kesha,dance pop,2011,120,82,74,-5,12,65,205,1,4,72
68,price tag,jessie j,australian pop,2011,175,83,64,-4,27,68,223,3,18,72
69,good life,onerepublic,dance pop,2011,95,69,63,-8,13,65,253,8,5,72
70,just cant get enough,the black eyed peas,dance pop,2011,94,63,66,-9,11,26,219,19,18,71
71,on the floor,jennifer lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,69
72,what's my name?,rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69
73,yeah 3x,chris brown,dance pop,2011,130,88,71,-3,9,70,242,0,4,69
74,without you (feat. usher),david guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,68
75,sexy and i know it,lmfao,dance pop,2011,130,86,71,-4,19,80,199,10,32,67
76,the edge of glory,lady gaga,dance pop,2011,128,77,58,-6,11,36,321,0,4,67
77,e.t.,katy perry,dance pop,2011,152,87,62,-5,37,76,230,2,18,66
78,till the world ends,britney spears,dance pop,2011,132,71,69,-6,20,45,238,2,7,65
79,i wanna go,britney spears,dance pop,2011,130,55,70,-7,33,79,210,0,4,64
80,blow,kesha,dance pop,2011,120,73,75,-4,7,81,220,0,4,64
81,you and i,lady gaga,dance pop,2011,127,70,52,-5,9,52,307,9,5,64
82,judas,lady gaga,dance pop,2011,131,93,66,-4,27,53,249,0,7,63
83,tonight (i'm fuckin' you),enrique iglesias,dance pop,2011,126,89,65,-4,12,32,232,3,5,63
84,please don't go,mike posner,dance pop,2011,120,88,70,-4,13,66,197,0,3,63
85,we found love,rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61
86,marry the night,lady gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61
87,1+1,beyoncé,dance pop,2011,63,38,30,-7,7,26,274,38,3,60
88,hold it against me,britney spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59
89,i'm into you,jennifer lopez,dance pop,2011,84,75,59,-4,8,70,200,2,14,59
90,papi,jennifer lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58
91,cheers (drink to that),rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58
92,s&m remix,rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54
93,written in the stars (feat. eric turner),tinie tempah,dance pop,2011,91,95,64,-4,18,57,220,6,7,52
94,jar of hearts,christina perri,dance pop,2011,75,35,35,-6,12,9,247,73,3,50
95,castle walls (feat. christina aguilera),t.i.,atl hip hop,2011,80,86,45,-5,26,58,329,7,39,49
96,turning page,sleeping at last,acoustic pop,2011,125,38,30,-8,11,19,255,91,3,46
97,super bass,nicki minaj,dance pop,2011,127,74,77,-7,40,59,201,6,23,38
98,raise your glass,p!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38
99,invading my mind,jennifer lopez,dance pop,2011,129,88,73,-4,32,69,201,2,7,31
100,moment 4 life - album version (edited),nicki minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28
101,last friday night (t.g.i.f.),katy perry,dance pop,2011,126,81,65,-4,67,72,231,0,4,27
102,firework,katy perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25
103,muny - album version (edited),nicki minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7
104,titanium (feat. sia),david guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80
105,locked out of heaven,bruno mars,pop,2012,144,70,73,-4,31,87,233,5,4,79
106,paradise,coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79
107,payphone,maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79
108,what makes you beautiful,one direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78
109,i knew you were trouble.,taylor swift,pop,2012,77,47,62,-7,3,68,220,0,4,77
110,call me maybe,carly rae jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76
111,love you like a love song,selena gomez & the scene,dance pop,2012,117,68,86,-4,7,92,188,8,5,76
112,set fire to the rain,adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76
114,stronger (what doesn't kill you),kelly clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74
115,try,p!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,74
116,starships,nicki minaj,dance pop,2012,125,72,75,-2,25,75,211,14,8,73
117,one more night,maroon 5,pop,2012,93,82,72,-3,8,62,220,6,3,73
118,good time,owl city,pop,2012,126,87,56,-4,37,68,206,2,14,73
119,glad you came,the wanted,boy band,2012,127,85,72,-4,11,45,198,3,6,72
120,beauty and a beat,justin bieber,canadian pop,2012,128,84,60,-5,7,53,228,0,6,72
121,international love,pitbull,dance pop,2012,120,86,67,-3,34,65,227,1,5,72
122,some nights,fun.,baroque pop,2012,108,74,67,-7,9,39,277,2,5,72
123,boyfriend,justin bieber,canadian pop,2012,97,55,72,-6,13,33,171,4,5,71
124,part of me,katy perry,dance pop,2012,130,92,68,-5,7,77,216,0,4,71
125,domino,jessie j,australian pop,2012,127,55,76,-5,4,78,232,1,3,69
126,where have you been,rihanna,barbadian pop,2012,128,85,72,-6,22,44,243,0,9,68
127,wide awake,katy perry,dance pop,2012,160,68,51,-5,39,57,221,7,4,68
128,the one that got away,katy perry,dance pop,2012,134,80,69,-4,16,88,227,0,4,67
129,dance again,jennifer lopez,dance pop,2012,128,86,79,-5,10,71,237,2,7,66
130,turn up the music,chris brown,dance pop,2012,130,84,59,-6,16,64,228,0,10,65
131,lights - single version,ellie goulding,dance pop,2012,120,80,68,-6,13,78,211,3,4,65
132,we are young (feat. janelle monáe),fun.,baroque pop,2012,184,64,38,-6,8,74,251,2,8,63
133,diamonds,rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,61
134,don't stop the party (feat. tjr),pitbull,dance pop,2012,127,96,72,-4,38,95,206,1,9,59
135,you da one,rihanna,barbadian pop,2012,127,72,70,-5,13,86,200,50,4,57
136,stereo hearts (feat. adam levine),gym class heroes,dance pop,2012,90,80,65,-3,27,80,211,3,10,54
137,it will rain,bruno mars,pop,2012,150,84,58,-7,8,48,258,34,5,38
138,blow me (one last kiss),p!nk,dance pop,2012,114,92,60,-3,25,75,256,0,4,0
139,underneath the tree,kelly clarkson,dance pop,2013,160,81,51,-5,21,69,230,0,5,88
140,wake me up,avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85
141,story of my life,one direction,boy band,2013,121,66,60,-6,12,29,245,23,5,81
142,just give me a reason (feat. nate ruess),p!nk,dance pop,2013,95,55,78,-7,13,44,243,35,5,81
143,hall of fame,the script,celtic rock,2013,85,87,42,-4,12,63,203,7,6,80
144,roar,katy perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78
145,we can't stop,miley cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78
146,don't you worry child - radio edit,swedish house mafia,big room,2013,129,84,61,-3,12,44,213,11,5,78
147,get lucky (feat. pharrell williams & nile rodgers) - radio edit,daft punk,electro,2013,116,81,79,-9,10,86,248,4,4,77
148,wrecking ball,miley cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77
149,impossible,james arthur,pop,2013,170,70,38,-5,11,30,209,14,9,77
150,blurred lines,robin thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76
151,heart attack,demi lovato,dance pop,2013,174,79,50,-5,24,50,211,7,10,76
152,we are never ever getting back together,taylor swift,pop,2013,86,68,63,-6,12,75,193,1,9,75
153,die young,kesha,dance pop,2013,128,70,71,-5,22,80,212,0,5,75
154,clarity,zedd,complextro,2013,128,78,51,-3,7,18,271,4,7,75
155,summertime sadness (lana del rey vs. cedric gervais) - cedric gervais remix,lana del rey,art pop,2013,126,81,57,-6,13,11,215,2,6,74
156,under control,calvin harris,dance pop,2013,126,92,54,-3,12,51,184,13,8,74
157,everybody talks,neon trees,indie pop,2013,155,92,47,-4,31,73,177,0,6,74
158,"hold on, we're going home",drake,canadian hip hop,2013,100,41,77,-7,7,29,228,0,10,73
159,best song ever,one direction,boy band,2013,118,88,65,-3,8,49,200,2,5,73
160,kiss you,one direction,boy band,2013,90,93,63,-3,32,91,183,2,6,73
161,sweet nothing (feat. florence welch),calvin harris,dance pop,2013,128,93,57,-4,6,58,213,20,11,72
162,lose yourself to dance,daft punk,electro,2013,100,66,83,-8,8,67,354,8,6,72
163,work bitch,britney spears,dance pop,2013,128,82,63,-7,7,85,248,16,16,71
164,brave,sara bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,71
165,can't hold us (feat. ray dalton),macklemore & ryan lewis,dance pop,2013,146,93,63,-4,10,88,258,3,8,70
166,feel this moment (feat. christina aguilera),pitbull,dance pop,2013,136,76,67,-4,34,54,230,4,16,70
167,beneath your beautiful,labrinth,pop,2013,84,52,56,-6,10,23,272,23,4,70
168,let me love you (until you learn to love yourself),ne-yo,dance pop,2013,125,68,66,-7,37,25,252,25,4,70
169,thrift shop (feat. wanz),macklemore & ryan lewis,dance pop,2013,95,53,78,-7,5,66,236,6,29,69
170,if i lose myself - alesso vs onerepublic,onerepublic,dance pop,2013,126,75,52,-6,14,16,215,26,4,69
171,the way,ariana grande,dance pop,2013,82,88,65,-3,8,86,227,29,11,68
172,suit & tie,justin timberlake,dance pop,2013,102,60,80,-4,16,36,326,10,22,68
173,#thatpower,will.i.am,dance pop,2013,128,61,80,-6,7,40,280,0,6,68
174,i love it (feat. charli xcx),icona pop,candy pop,2013,126,91,71,-3,15,82,157,1,3,67
175,play hard (feat. ne-yo & akon) - new edit,david guetta,dance pop,2013,130,87,72,-3,66,68,209,4,4,67
176,daylight,maroon 5,pop,2013,120,67,66,-5,26,37,225,0,3,66
177,love somebody,maroon 5,pop,2013,120,78,68,-6,12,40,230,13,4,65
179,move,little mix,dance pop,2013,121,74,85,-5,55,77,224,0,9,63
180,walks like rihanna,the wanted,boy band,2013,126,82,56,-3,10,43,202,1,6,62
181,rock n roll,avril lavigne,canadian pop,2013,184,96,47,-3,34,67,207,1,13,61
182,heartbreaker,justin bieber,canadian pop,2013,105,52,56,-7,34,58,263,14,10,61
183,mirrors - radio edit,justin timberlake,dance pop,2013,77,60,58,-6,43,65,277,14,5,60
184,next to me,emeli sandé,dance pop,2013,95,80,67,-5,11,35,197,9,4,60
185,made in the usa,demi lovato,dance pop,2013,87,86,58,-4,32,59,196,0,4,60
186,clown,emeli sandé,dance pop,2013,130,23,45,-8,11,23,221,92,4,60
187,girl on fire (feat. nicki minaj) - inferno version,alicia keys,hip pop,2013,93,81,55,-6,15,34,271,9,31,59
188,tko,justin timberlake,dance pop,2013,138,68,61,-7,43,49,424,1,24,58
189,come & get it,selena gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57
190,live it up,jennifer lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57
191,we own the night,the wanted,boy band,2013,104,94,55,-4,23,56,206,1,13,56
192,atlas - from the hunger games: catching fire soundtrack,coldplay,permanent wave,2013,136,45,28,-8,11,11,236,63,3,55
193,what about love,austin mahone,dance pop,2013,100,78,63,-7,4,28,203,0,4,54
194,take back the night,justin timberlake,dance pop,2013,107,66,59,-5,64,33,353,4,16,54
195,applause,lady gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52
196,anything could happen,ellie goulding,dance pop,2013,103,78,70,-4,14,38,286,43,3,52
197,finally found you,enrique iglesias,dance pop,2013,128,88,62,-5,35,66,221,1,10,52
198,pom poms,jonas brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52
199,#beautiful,mariah carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51
200,how ya doin'? (feat. missy elliott),little mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50
201,crazy kids (feat. will.i.am),kesha,dance pop,2013,128,75,72,-4,13,50,229,4,4,46
202,"ooh la la (from ""the smurfs 2"")",britney spears,dance pop,2013,128,57,69,-5,11,73,257,2,5,45
203,people like us,kelly clarkson,dance pop,2013,128,79,60,-5,36,61,259,4,4,45
204,overdose,ciara,dance pop,2013,107,70,77,-6,6,79,227,1,3,43
205,right now - dyro radio edit,rihanna,barbadian pop,2013,130,74,53,-6,24,45,186,0,4,42
206,give it 2 u,robin thicke,dance pop,2013,127,83,67,-4,16,58,230,10,7,41
207,foolish games,jewel,alaska indie,2013,132,34,51,-11,12,7,250,23,3,36
208,outta nowhere (feat. danny mercer),pitbull,dance pop,2013,95,84,71,-4,21,66,207,16,3,35
209,freak,kelly rowland,atl hip hop,2013,104,78,65,-5,12,45,274,13,6,28
210,all of me,john legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86
211,stay with me,sam smith,pop,2014,84,42,42,-6,11,18,173,59,4,85
212,summer,calvin harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80
213,"happy - from ""despicable me 2""",pharrell williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79
214,rude,magic!,pop,2014,144,76,77,-5,31,93,225,4,4,79
215,shake it off,taylor swift,pop,2014,160,80,65,-5,33,94,219,6,17,78
216,dark horse,katy perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78
217,hey brother,avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78
218,maps,maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78
219,treasure,bruno mars,pop,2014,116,69,87,-5,32,94,179,4,4,77
220,let her go,passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77
221,problem,ariana grande,dance pop,2014,103,81,66,-5,16,63,194,2,15,75
222,pompeii,bastille,metropopolis,2014,127,72,68,-6,27,57,214,8,4,73
223,team,lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73
224,love me again,john newman,pop,2014,126,89,50,-5,10,21,240,0,4,73
225,latch,disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72
226,adore you,miley cyrus,dance pop,2014,120,66,58,-5,11,20,279,11,3,72
227,love never felt so good,michael jackson,pop,2014,118,72,78,-6,7,71,246,13,4,71
228,burn,ellie goulding,dance pop,2014,87,78,56,-5,11,33,231,31,4,71
229,she looks so perfect,5 seconds of summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71
230,fancy,iggy azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70
231,talk dirty (feat. 2 chainz),jason derulo,dance pop,2014,100,65,76,-7,31,76,178,3,23,68
232,gorilla,bruno mars,pop,2014,140,54,72,-7,10,64,244,45,4,68
233,human,christina perri,dance pop,2014,144,49,44,-6,11,25,251,13,4,68
234,young girls,bruno mars,pop,2014,126,75,56,-5,21,50,229,46,3,67
235,wiggle (feat. snoop dogg),jason derulo,dance pop,2014,82,62,70,-7,16,72,193,8,25,67
236,love runs out,onerepublic,dance pop,2014,120,93,72,-4,8,74,225,17,6,66
237,this is how we do,katy perry,dance pop,2014,96,64,69,-6,15,80,204,2,5,66
238,mmm yeah (feat. pitbull),austin mahone,dance pop,2014,126,92,71,-4,27,98,232,0,4,65
239,a little party never killed nobody (all we got),fergie,dance pop,2014,130,62,76,-6,9,52,241,1,18,65
240,#selfie,the chainsmokers,electropop,2014,128,92,79,-3,8,66,184,1,25,65
241,partition,beyoncé,dance pop,2014,186,44,41,-12,31,17,319,3,29,65
242,birthday,katy perry,dance pop,2014,126,67,72,-5,11,84,215,9,7,65
243,g.u.y.,lady gaga,dance pop,2014,110,92,62,-3,12,57,233,1,4,65
244,stay the night - featuring hayley williams of paramore,zedd,complextro,2014,128,74,60,-3,9,46,217,11,4,64
245,"let it go - from ""frozen / single version",demi lovato,dance pop,2014,140,66,50,-6,27,25,226,3,4,63
246,wings,birdy,neo mellow,2014,83,71,47,-5,16,22,252,8,3,62
247,can't remember to forget you (feat. rihanna),shakira,colombian pop,2014,138,81,69,-4,14,82,207,12,7,62
248,shot me down (feat. skylar grey) - radio edit,david guetta,dance pop,2014,192,77,35,-4,12,4,191,6,5,61
249,say something,a great big world,neo mellow,2014,138,15,45,-9,9,9,229,87,3,61
250,a sky full of stars,coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,60
251,come get it bae,pharrell williams,dance pop,2014,120,80,93,-6,10,90,202,27,8,59
252,chandelier,sia,australian dance,2014,174,78,29,-3,7,62,216,2,7,56
253,xo,beyoncé,dance pop,2014,170,79,47,-9,31,21,216,17,26,56
254,we are one (ole ola) [the official 2014 fifa world cup song],pitbull,dance pop,2014,125,94,60,-4,10,55,222,0,7,56
255,not about angels,birdy,neo mellow,2014,116,14,41,-10,9,23,190,97,4,56
256,drunk in love,beyoncé,dance pop,2014,140,62,59,-7,18,40,323,1,5,52
257,anaconda,nicki minaj,dance pop,2014,130,60,96,-6,21,65,260,7,18,50
258,boom clap - from the motion picture das schicksal ist ein mieser verräter,charli xcx,candy pop,2014,92,81,68,-4,34,64,169,7,6,50
259,la la la (brasil 2014) (feat. carlinhos brown),shakira,colombian pop,2014,128,82,80,-5,35,61,198,18,4,50
260,tee shirt - soundtrack version,birdy,neo mellow,2014,76,34,68,-9,9,56,160,84,3,49
261,words as weapons,birdy,neo mellow,2014,120,35,53,-9,14,19,239,28,3,44
262,you're mine (eternal),mariah carey,dance pop,2014,149,58,63,-7,38,56,224,28,7,38
263,sheezus,lily allen,dance pop,2014,130,50,78,-7,11,39,235,15,4,37
264,cannonball,lea michele,hollywood,2014,92,82,56,-3,19,57,215,2,5,37
265,it's on again - main soundtrack,alicia keys,hip pop,2014,110,54,64,-9,25,53,230,10,11,30
266,i luh ya papi,jennifer lopez,dance pop,2014,96,73,74,-6,12,59,207,45,42,28
267,not a bad thing,justin timberlake,dance pop,2014,86,73,59,-6,38,46,266,27,6,0
268,thinking out loud,ed sheeran,pop,2015,79,45,78,-6,18,59,282,47,3,84
269,i'm not the only one,sam smith,pop,2015,82,49,68,-6,8,49,239,53,4,84
272,uptown funk,mark ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82
273,take me to church,hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81
275,sorry,justin bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,81
276,fourfiveseconds,rihanna,barbadian pop,2015,206,27,58,-6,13,35,188,88,5,80
277,"love me like you do - from ""fifty shades of grey""",ellie goulding,dance pop,2015,190,61,26,-7,13,28,253,25,5,79
278,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",the weeknd,canadian contemporary r&b,2015,120,38,66,-6,10,44,252,39,3,79
279,what do you mean?,justin bieber,canadian pop,2015,125,57,85,-8,8,79,206,59,10,79
281,want to want me,jason derulo,dance pop,2015,114,68,78,-6,11,66,208,1,6,77
282,my house,flo rida,dance pop,2015,94,70,69,-5,13,74,192,2,5,77
283,waves - robin schulz radio edit,mr. probz,tropical house,2015,120,51,83,-9,8,45,208,1,4,77
284,night changes,one direction,boy band,2015,120,52,67,-8,12,37,227,86,4,77
285,how deep is your love,calvin harris,dance pop,2015,122,87,74,-4,39,34,213,4,7,77
286,never forget you,zara larsson,dance pop,2015,146,73,58,-6,27,28,213,0,5,77
287,love me harder,ariana grande,dance pop,2015,99,71,47,-4,8,24,236,1,3,76
288,animals,maroon 5,pop,2015,190,74,28,-6,59,33,231,0,9,76
289,blame,calvin harris,dance pop,2015,128,86,41,-4,34,35,213,3,8,76
290,worth it,fifth harmony,dance pop,2015,100,77,88,-4,12,59,225,6,9,75
291,break free,ariana grande,dance pop,2015,130,70,69,-5,20,28,215,1,5,75
292,don't,ed sheeran,pop,2015,95,61,81,-7,64,85,220,1,7,74
293,elastic heart,sia,australian dance,2015,130,79,42,-5,15,50,257,1,5,73
294,rather be (feat. jess glynne),clean bandit,dance pop,2015,121,59,80,-7,19,55,228,16,4,73
295,hello,adele,british soul,2015,158,45,48,-6,9,29,295,34,3,73
296,dear future husband,meghan trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72
297,43776,beyoncé,dance pop,2015,136,71,75,-5,13,56,214,1,13,72
298,the heart wants what it wants,selena gomez,dance pop,2015,83,79,62,-5,14,62,227,5,4,72
299,"hey mama (feat. nicki minaj, bebe rexha & afrojack)",david guetta,dance pop,2015,86,73,60,-4,33,53,193,24,15,72
300,genie in a bottle,christina aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72
302,sing,ed sheeran,pop,2015,120,67,82,-4,6,94,235,30,5,71
303,jealous - remix,nick jonas,dance pop,2015,93,71,68,-4,44,45,222,1,8,70
304,really don't care,demi lovato,dance pop,2015,121,73,71,-4,19,85,202,12,9,70
